time,open,high,low,close,tick_volume,spread,real_volume,Change(Pips),Change(%)
2024-01-01,42250.77,44258.06,42149.75,44247.36,123757,655,0,,
2024-01-02,44242.01,45917.52,44202.8,44942.07,182559,409,0,69470.99999999991,1.5700597730576416
2024-01-03,44958.75,45526.9,41153.47,42840.94,248324,762,0,-210112.99999999974,-4.6751963138324415
2024-01-04,42841.53,44784.9,42602.1,44193.64,173056,795,0,135269.9999999997,3.1574937431344763
2024-01-05,44191.51,44362.71,42540.17,44177.76,190896,669,0,-1587.999999999738,-0.03593277222694313
2024-01-06,44176.35,44254.3,43420.73,43956.76,118731,1173,0,-22100.0,-0.5002517103628645
2024-01-07,43949.35,44499.44,43612.59,43926.12,127512,789,0,-3063.999999999942,-0.06970486450775804
2024-01-08,43929.53,47291.24,43209.75,46979.79,201113,478,0,305366.9999999998,6.951831848567536
2024-01-09,46983.39,47871.2,44832.25,46091.57,228761,480,0,-88822.00000000012,-1.8906427636224077
2024-01-10,46085.6,47681.75,44287.86,46647.38,289995,777,0,55580.99999999977,1.205882116838275
2024-01-11,46663.56,48994.17,45527.97,46307.06,228184,528,0,-34031.99999999997,-0.7295586590286507
2024-01-12,46305.09,46487.38,41459.49,42772.07,227700,1125,0,-353498.99999999977,-7.633803571204901
2024-01-13,42779.59,43268.38,42413.47,42840.82,144803,1371,0,6875.0,0.16073573245345418
2024-01-14,42830.11,43084.47,41659.22,41666.51,137447,1731,0,-117430.99999999977,-2.7411006605382426
2024-01-15,41664.02,43345.89,41660.71,42491.7,164861,2146,0,82518.9999999995,1.9804634465425464
2024-01-16,42480.54,43577.16,42033.88,43133.13,163570,1956,0,64143.00000000003,1.50954186346981
2024-01-17,43140.87,43212.5,42152.26,42744.22,149998,2061,0,-38890.99999999962,-0.9016503091706873
2024-01-18,42739.24,42910.31,40590.38,41298.46,163561,1985,0,-144576.0000000002,-3.3823520466626844
2024-01-19,41298.47,42189.06,40261.95,41625.99,168632,2122,0,32752.999999999884,0.7930804199478558
2024-01-20,41629.71,41866.82,41414.01,41672.21,111346,1820,0,4622.000000000116,0.11103639817335864
2024-01-21,41678.84,41886.09,41481.64,41574.67,97568,1651,0,-9754.000000000087,-0.23406486001102955
2024-01-22,41578.31,41678.27,39354.04,39503.63,253574,1875,0,-207104.0000000001,-4.981494741870474
2024-01-23,39505.05,40171.38,38498.54,39848.88,357824,1911,0,34525.0,0.8739703161456225
2024-01-24,39865.37,40545.64,39398.33,40097.66,310534,1834,0,24878.00000000061,0.6243086380345098
2024-01-25,40088.15,40301.95,39491.75,39919.01,261307,1841,0,-17865.000000000146,-0.4455372208752362
2024-01-26,39966.03,42237.04,39808.31,41791.1,244887,1625,0,187208.99999999965,4.689720511605855
2024-01-27,41819.29,42207.51,41375.89,42128.43,106139,1625,0,33733.000000000175,0.8071814333673988
2024-01-28,42120.65,42843.69,41593.88,42036.81,120769,1625,0,-9162.000000000262,-0.2174778409734346
2024-01-29,42036.63,43318.39,41784.15,43300.76,132636,1626,0,126395.00000000044,3.0067695431694297
2024-01-30,43302.46,43855.23,42662.51,42954.86,134130,1625,0,-34590.000000000146,-0.7988312445324275
2024-01-31,42952.63,43741.82,42268.11,42566.16,152181,1791,0,-38869.99999999971,-0.9049034265272815
2024-02-01,42558.3,43290.46,41840.5,43097.36,151123,1866,0,53119.99999999971,1.2479396779037533
2024-02-02,43101.11,43446.33,42545.0,43174.24,127126,1877,0,7687.999999999738,0.17838679677826264
2024-02-03,43176.13,43336.28,42840.95,42984.17,97239,1776,0,-19006.99999999997,-0.4402393649546532
2024-02-04,42983.3,43094.37,42253.64,42602.08,102924,1749,0,-38208.99999999965,-0.8889086377612876
2024-02-05,42566.47,43535.26,42219.64,42685.19,134510,1692,0,8311.000000000058,0.1950843714673134
2024-02-06,42674.94,43360.6,42528.87,43063.59,123773,1713,0,37839.99999999942,0.8864901386171464
2024-02-07,43073.89,44380.56,42722.97,44302.23,125935,1626,0,123864.00000000067,2.8763045533361398
2024-02-08,44322.5,45603.67,44306.81,45283.97,140758,1625,0,98173.9999999998,2.2160058308577257
2024-02-09,45277.94,48215.97,45214.6,47099.45,170220,1625,0,181547.9999999996,4.009100792178777
2024-02-10,47107.3,48167.94,46838.69,47738.99,116599,1625,0,63954.00000000009,1.3578502509052681
2024-02-11,47730.75,48569.38,47532.29,48279.04,127235,1625,0,54005.00000000029,1.131255604695447
2024-02-12,48303.92,50264.24,47653.73,49907.3,164739,1625,0,162826.0000000002,3.372602272124725
2024-02-13,49894.69,50323.7,48278.14,49733.91,163282,1627,0,-17338.99999999994,-0.3474241243265008
2024-02-14,49710.36,52021.73,49239.29,51740.52,172127,1626,0,200660.99999999933,4.034691822943337
