time,open,high,low,close,tick_volume,spread,real_volume,Change(Pips),Change(%)
2024-01-01,2282.1,2351.03,2265.88,2350.91,77029,99,0,,
2024-01-02,2350.74,2430.82,2343.28,2355.77,89492,120,0,486.00000000001273,0.2067284583416651
2024-01-03,2355.54,2384.65,2104.75,2210.18,109151,114,0,-14559.000000000015,-6.180144920769015
2024-01-04,2210.1,2297.69,2204.39,2268.74,89409,113,0,5855.9999999999945,2.6495579545557257
2024-01-05,2268.98,2278.25,2208.11,2269.81,93236,109,0,107.00000000001637,0.04716274231513218
2024-01-06,2269.58,2271.44,2218.63,2242.37,77790,110,0,-2744.0000000000055,-1.2089117591340237
2024-01-07,2241.95,2257.69,2206.74,2223.13,78869,113,0,-1923.9999999999782,-0.8580207548263608
2024-01-08,2223.21,2359.56,2168.95,2331.08,92121,109,0,10794.999999999982,4.855766419417651
2024-01-09,2331.29,2370.66,2230.88,2343.24,94180,116,0,1215.9999999999854,0.5216466187346613
2024-01-10,2343.21,2637.78,2338.84,2583.42,113538,104,0,24018.00000000003,10.249910380498806
2024-01-11,2584.73,2685.53,2566.66,2616.91,102174,133,0,3348.999999999978,1.2963436065370537
2024-01-12,2617.01,2714.37,2458.32,2522.68,109288,116,0,-9423.000000000002,-3.6008116442674765
2024-01-13,2522.77,2589.34,2498.64,2576.81,89919,104,0,5413.000000000011,2.145733902040692
2024-01-14,2576.67,2578.33,2469.96,2473.15,87324,110,0,-10365.999999999985,-4.022803388686002
2024-01-15,2473.16,2552.36,2470.68,2512.57,86721,114,0,3942.0000000000073,1.5939186866951172
2024-01-16,2512.56,2614.52,2500.07,2587.24,89216,108,0,7466.999999999962,2.9718575004875403
2024-01-17,2587.33,2593.49,2505.02,2528.56,89936,118,0,-5867.999999999984,-2.2680539880335693
2024-01-18,2528.56,2547.62,2424.6,2469.34,90786,120,0,-5921.99999999998,-2.342044483816863
2024-01-19,2469.26,2504.42,2413.39,2492.06,88908,114,0,2271.99999999998,0.9200839090607094
2024-01-20,2491.88,2491.91,2453.71,2471.86,75725,111,0,-2019.9999999999818,-0.8105743842443558
2024-01-21,2471.62,2482.76,2452.81,2457.69,68299,105,0,-1417.0000000000073,-0.573252530483126
2024-01-22,2457.33,2465.09,2302.52,2313.6,121182,119,0,-14409.000000000015,-5.862822406406021
2024-01-23,2313.4,2351.01,2166.01,2242.11,184301,107,0,-7148.999999999978,-3.089989626556011
2024-01-24,2242.07,2264.1,2196.2,2233.69,164730,107,0,-842.0000000000073,-0.37553911271079876
2024-01-25,2234.53,2242.32,2169.33,2217.05,154295,103,0,-1663.9999999999873,-0.7449556563354776
2024-01-26,2218.34,2281.23,2196.3,2266.41,110172,110,0,4935.999999999967,2.2263819038812693
2024-01-27,2266.61,2283.3,2250.32,2267.38,74093,95,0,97.00000000002547,0.04279896400034566
2024-01-28,2267.74,2308.77,2239.63,2256.88,79824,116,0,-1050.0,-0.4630895571099636
2024-01-29,2256.78,2322.54,2233.11,2318.55,81060,122,0,6167.000000000007,2.7325334089539632
2024-01-30,2318.31,2392.91,2297.38,2343.83,83324,118,0,2527.9999999999745,1.0903366328092856
2024-01-31,2343.62,2352.4,2262.5,2282.29,85374,130,0,-6153.999999999996,-2.6256170456048444
2024-02-01,2282.05,2310.44,2239.3,2302.88,83256,122,0,2059.0000000000146,0.9021640545241905
2024-02-02,2302.69,2324.09,2279.96,2307.63,77168,113,0,475.0,0.20626346140484308
2024-02-03,2307.7,2328.58,2291.07,2296.07,71919,117,0,-1155.9999999999945,-0.5009468588985211
2024-02-04,2296.2,2309.63,2267.6,2289.02,72832,110,0,-705.0000000000182,-0.307046387958565
2024-02-05,2288.5,2336.89,2268.34,2299.42,77820,112,0,1040.000000000009,0.4543429065713811
2024-02-06,2299.67,2391.32,2296.07,2372.18,81537,103,0,7275.999999999976,3.164276208783079
2024-02-07,2372.35,2446.48,2351.66,2423.24,84250,86,0,5105.9999999999945,2.1524504885801266
2024-02-08,2424.97,2462.41,2411.03,2418.81,84659,107,0,-442.99999999998363,-0.18281309321404038
2024-02-09,2419.43,2524.26,2418.18,2487.89,87270,129,0,6907.999999999993,2.8559498265676053
2024-02-10,2488.79,2517.45,2474.51,2502.63,77147,117,0,1474.0000000000236,0.592469924313388
2024-02-11,2502.64,2541.21,2495.66,2509.43,78322,98,0,679.9999999999727,0.27171415670712573
2024-02-12,2509.94,2663.87,2473.63,2656.74,86714,130,0,14730.999999999995,5.870257389128208
2024-02-13,2659.82,2685.25,2590.96,2643.53,90874,129,0,-1320.9999999999582,-0.4972259235002108
2024-02-14,2642.24,2785.89,2619.29,2775.43,89849,130,0,13189.999999999964,4.989540500769785
2024-02-15,2775.66,2862.85,2759.19,2823.02,92500,143,0,4759.000000000015,1.7146892553586257
2024-02-16,2823.19,2855.07,2746.24,2802.83,88012,157,0,-2019.0000000000055,-0.7151915324723146
2024-02-17,2802.68,2805.21,2719.18,2785.47,82269,132,0,-1736.0000000000127,-0.6193739898602502
2024-02-18,2785.19,2893.86,2763.32,2875.85,82711,159,0,9038.000000000011,3.244694791184255
2024-02-19,2878.62,2980.12,2856.95,2942.3,89372,141,0,6645.000000000027,2.31062120764296
2024-02-20,2943.35,3028.26,2872.53,3010.73,95574,170,0,6842.999999999984,2.325731570540057
2024-02-21,3011.38,3015.71,2866.23,2968.64,96966,156,0,-4209.000000000015,-1.3979998206415156
2024-02-22,2967.09,3031.95,2906.66,2971.34,96021,182,0,270.0000000000273,0.0909507383852537
2024-02-23,2967.91,2991.5,2904.9,2920.27,90575,190,0,-5107.000000000016,-1.7187531551421276
2024-02-24,2920.55,3004.31,2905.78,2991.75,79664,135,0,7148.000000000002,2.447718875309479
2024-02-25,2991.36,3113.25,2983.43,3111.4,85820,102,0,11965.00000000001,3.9993314949444247
2024-02-26,3110.66,3193.09,3035.5,3176.27,89659,111,0,6486.999999999989,2.0849135437423616
2024-02-27,3175.19,3283.06,3164.1,3242.85,93465,155,0,6657.999999999993,2.0961694062532343
2024-02-28,3241.77,3481.11,3180.7,3381.68,126980,206,0,13882.999999999993,4.281110751345274
2024-02-29,3381.02,3518.67,3300.05,3339.79,110015,241,0,-4188.999999999987,-1.2387334106124692
2024-03-01,3339.4,3450.52,3337.07,3433.16,96809,276,0,9336.999999999989,2.795684758622552
2024-03-02,3432.95,3460.57,3394.4,3420.64,88155,176,0,-1251.9999999999982,-0.3646786051334616
2024-03-03,3421.88,3494.83,3365.21,3488.32,88899,316,0,6768.000000000029,1.9785771083773884
2024-03-04,3486.84,3638.19,3433.41,3627.31,106464,309,0,13898.999999999978,3.9844395009632105
2024-03-05,3628.52,3818.45,3205.49,3552.44,196789,283,0,-7486.999999999989,-2.0640640033523394
2024-03-06,3557.2,3901.04,3502.87,3818.24,122211,296,0,26579.99999999997,7.482181261330223
2024-03-07,3822.27,3932.58,3736.64,3871.86,101457,325,0,5362.000000000035,1.4043119342943333
2024-03-08,3871.09,3996.0,3825.86,3887.06,105797,365,0,1519.9999999999818,0.39257617785766197
2024-03-09,3887.09,3945.48,3875.16,3909.97,75198,208,0,2290.9999999999854,0.589391468101863
2024-03-10,3907.91,3967.69,3792.95,3879.78,87622,360,0,-3018.99999999996,-0.7721286864093457
2024-03-11,3879.37,4085.18,3734.48,4063.01,103570,374,0,18323.0,4.7226904618303145
2024-03-12,4062.33,4089.65,3821.97,3974.99,119068,396,0,-8802.000000000044,-2.1663741905631695
2024-03-13,3974.35,4081.93,3929.05,4002.63,99339,395,0,2764.0000000000327,0.6953476612519882
2024-03-14,4005.67,4011.27,3717.73,3879.18,109863,393,0,-12345.000000000027,-3.084222123953506
2024-03-15,3879.06,3928.82,3565.74,3735.78,137533,361,0,-14339.999999999964,-3.6966575410267044
2024-03-16,3741.75,3780.01,3467.57,3522.54,105372,350,0,-21324.000000000022,-5.708044906284638
2024-03-17,3518.31,3676.96,3414.66,3641.84,105381,311,0,11930.000000000018,3.3867606897295843
2024-03-18,3641.61,3642.87,3454.83,3519.59,108233,350,0,-12225.0,-3.356819629637764
2024-03-19,3520.83,3548.94,3149.39,3161.02,136082,264,0,-35857.000000000015,-10.187834378436133
2024-03-20,3158.22,3538.21,3057.14,3515.37,137739,229,0,35434.99999999999,11.209989180707481
2024-03-21,3518.16,3586.84,3412.02,3494.83,109079,179,0,-2053.9999999999964,-0.5842912694822955
2024-03-22,3494.44,3544.71,3250.96,3333.96,114008,219,0,-16086.999999999989,-4.603085128604246
2024-03-23,3336.14,3437.42,3271.33,3337.46,101248,202,0,350.0,0.10498026371041913
2024-03-24,3330.75,3470.45,3298.63,3455.49,97322,222,0,11802.999999999975,3.536521786028879
2024-03-25,3455.88,3656.33,3420.33,3588.7,96603,271,0,13321.000000000004,3.8550249024016825
2024-03-26,3588.86,3676.59,3542.65,3586.5,96470,306,0,-219.9999999999818,-0.06130353609942185
2024-03-27,3587.23,3662.94,3456.81,3499.56,100959,306,0,-8694.000000000005,-2.4240903387703905
2024-03-28,3500.24,3612.45,3462.63,3558.98,94899,327,0,5942.000000000007,1.6979277394872483
2024-03-29,3559.72,3584.44,3472.07,3510.0,86668,342,0,-4898.000000000002,-1.3762370117280764
2024-03-30,3509.3,3567.84,3486.26,3506.88,81238,338,0,-311.9999999999891,-0.0888888888888828
2024-03-31,3507.88,3655.07,3505.52,3648.44,81838,346,0,14155.999999999995,4.03663655443014
2024-04-01,3644.94,3646.28,3413.73,3502.0,93873,302,0,-14644.000000000005,-4.013770268936867
2024-04-02,3503.74,3506.01,3213.21,3276.7,111931,286,0,-22530.00000000002,-6.43346659051971
2024-04-03,3278.56,3368.72,3199.15,3310.29,96519,243,0,3359.0000000000146,1.0251167332987476
2024-04-04,3311.19,3442.83,3251.69,3330.52,90193,266,0,2023.0000000000018,0.6111247050862634
2024-04-05,3329.11,3349.55,3211.86,3318.65,97749,275,0,-1186.999999999989,-0.3564008022771237
2024-04-06,3319.11,3397.08,3307.04,3352.99,81208,317,0,3433.999999999969,1.0347581094722225
2024-04-07,3352.82,3457.34,3343.79,3452.8,82297,335,0,9981.00000000004,2.976746128082719
2024-04-08,3452.93,3726.59,3405.38,3691.13,91638,323,0,23832.999999999993,6.902513901760887
2024-04-09,3692.55,3723.42,3452.58,3503.48,94346,344,0,-18765.000000000007,-5.083809023253039
2024-04-10,3502.64,3560.96,3412.12,3543.06,97877,328,0,3957.9999999999927,1.1297338646146127
2024-04-11,3545.43,3617.22,3472.51,3503.91,93083,328,0,-3915.000000000009,-1.1049770537332138
2024-04-12,3502.14,3551.14,3097.16,3240.08,123608,259,0,-26382.999999999993,-7.529588374130613
2024-04-13,3237.81,3299.4,2857.9,3003.45,161546,225,0,-23663.00000000001,-7.303214735438635
2024-04-14,3008.9,3177.07,2908.44,3156.97,117718,198,0,15351.999999999998,5.111455159899458
2024-04-15,3157.64,3278.66,3024.27,3101.4,112276,200,0,-5556.999999999971,-1.7602321213061822
2024-04-16,3104.0,3128.54,2990.88,3083.98,114266,192,0,-1742.0000000000073,-0.561681821113047
2024-04-17,3085.36,3123.68,2915.39,2986.98,108640,178,0,-9700.0,-3.1452862859032815
2024-04-18,2986.24,3094.71,2953.55,3065.54,96531,192,0,7855.9999999999945,2.6300812191578204
2024-04-19,3065.21,3126.91,2866.17,3059.27,106776,187,0,-626.9999999999982,-0.20453166489428076
2024-04-20,3059.03,3171.38,3019.77,3158.85,86166,204,0,9957.999999999993,3.2550248915590885
2024-04-21,3158.54,3196.82,3119.05,3149.13,83795,238,0,-971.99999999998,-0.3077069186571024
2024-04-22,3149.17,3235.29,3131.75,3201.33,85538,246,0,5219.999999999982,1.6576006706614077
2024-04-23,3201.4,3263.03,3154.41,3220.01,81790,261,0,1868.000000000029,0.5835074797037487
2024-04-24,3220.04,3291.05,3105.05,3139.51,87721,244,0,-8050.0,-2.4999922360489535
2024-04-25,3139.3,3192.33,3072.97,3156.24,88120,209,0,1672.9999999999563,0.5328857050940883
2024-04-26,3156.27,3166.6,3102.86,3132.18,83405,211,0,-2405.9999999999945,-0.7622994449091314
2024-04-27,3132.46,3282.78,3071.68,3254.45,84525,197,0,12226.999999999998,3.9036709256811575
2024-04-28,3254.02,3355.44,3248.5,3264.35,85058,188,0,990.0000000000091,0.3041988661678596
2024-04-29,3264.39,3288.1,3116.58,3216.78,88812,246,0,-4756.999999999971,-1.4572579533444596
2024-04-30,3217.12,3249.64,2919.3,3014.89,102288,232,0,-20189.000000000033,-6.276151928325846
2024-05-01,3014.81,3022.48,2816.7,2971.29,106192,171,0,-4359.999999999991,-1.4461555811323135
2024-05-02,2971.29,3017.16,2894.92,2988.33,88106,182,0,1703.9999999999964,0.5734882828670296
2024-05-03,2988.41,3127.93,2958.82,3106.2,84929,183,0,11786.999999999989,3.944343496200209
2024-05-04,3106.21,3167.54,3095.05,3120.95,77463,166,0,1475.0,0.4748567381366309
2024-05-05,3120.79,3168.35,3076.17,3140.05,78484,164,0,1910.0000000000364,0.6119931431134873
2024-05-06,3139.98,3220.62,3048.0,3063.41,83919,186,0,-7664.000000000033,-2.4407254661550026
2024-05-07,3063.42,3130.26,3000.95,3006.8,84846,200,0,-5660.999999999967,-1.8479406935408504
2024-05-08,3006.81,3038.94,2938.15,2975.15,87244,209,0,-3165.000000000009,-1.052614074763869
2024-05-09,2975.09,3057.3,2950.07,3037.92,81721,199,0,6276.999999999998,2.1098095894324542
